MSOA,number_measured,number_obese,obesity_rate
E02000639,291.0,81.0,27.835051546391753
E02000640,176.0,42.0,23.863636363636363
E02000641,353.0,93.0,26.345609065155806
E02000642,224.0,39.0,17.410714285714285
E02000643,199.0,39.0,19.597989949748744
E02000644,227.0,42.0,18.502202643171806
E02000645,175.0,43.0,24.571428571428573
E02000646,141.0,28.0,19.858156028368796
E02000647,200.0,44.0,22.0
E02000648,316.0,80.0,25.31645569620253
E02000649,220.0,51.0,23.18181818181818
E02000650,203.0,52.0,25.615763546798032
E02000651,193.0,37.0,19.170984455958546
E02000652,260.0,66.0,25.384615384615383
E02006801,109.0,23.0,21.100917431192663
E02000653,284.0,80.0,28.169014084507044
E02000654,286.0,74.0,25.874125874125873
E02000655,228.0,63.0,27.631578947368425
E02000657,206.0,56.0,27.184466019417474
E02000658,203.0,49.0,24.137931034482758
E02000659,166.0,35.0,21.084337349397593
E02000660,156.0,37.0,23.717948717948715
E02000661,100.0,25.0,25.0
E02000662,220.0,50.0,22.727272727272727
E02000663,157.0,45.0,28.662420382165603
E02000664,233.0,58.0,24.892703862660944
E02000665,172.0,38.0,22.093023255813954
E02000666,182.0,42.0,23.076923076923077
E02000667,159.0,31.0,19.49685534591195
E02000668,179.0,28.0,15.64245810055866
E02000669,155.0,40.0,25.806451612903224
E02000670,175.0,34.0,19.428571428571427
E02000671,193.0,38.0,19.689119170984455
E02000672,214.0,44.0,20.5607476635514
E02000673,212.0,33.0,15.566037735849056
E02000674,316.0,79.0,25.0
E02000675,229.0,55.0,24.017467248908297
E02000676,214.0,49.0,22.897196261682243
E02000677,118.0,23.0,19.491525423728813
E02000678,243.0,63.0,25.925925925925924
E02000679,224.0,56.0,25.0
E02000680,192.0,56.0,29.166666666666668
E02000681,261.0,73.0,27.969348659003828
E02000682,376.0,91.0,24.20212765957447
